YORF	NAME	G0.05	G0.1	G0.15	G0.2	G0.25	G0.3	N0.05	N0.1	N0.15	N0.2	N0.25	N0.3	P0.05	P0.1	P0.15	P0.2	P0.25	P0.3	S0.05	S0.1	S0.15	S0.2	S0.25	S0.3	L0.05	L0.1	L0.15	L0.2	L0.25	L0.3	U0.05	U0.1	U0.15	U0.2	U0.25	U0.3
EWEIGHT		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
YMR123W	PKR1       || biological process unknown || molecular function unknown || YMR123W || 1082847	-0.73	-0.37	-0.46	-0.41	-0.06	0.13	-1.55	-1.33	-0.51	-0.62	0.02	0.27	-0.79	-0.44	-0.17	0.14	0.11	0.32	-1.82	-0.95	-0.13	-0.15	-0.2	0.05	-0.41	-0.25	-0.2	-0.14	0.16	0.12	-0.9	-0.34	-0.04	0.17	0.04	0.25
YJL012C	"VTC4       || vacuole fusion, non-autophagic || molecular function unknown || YJL012C || 1083730"	-0.19	-0.08	-0.16	-0.03	-0.16	-0.16	0.85	0.81	0.54	0.32	0.28	0.45	3.72	4.09	3.7	3.79	3.74	3.49	0.83	0.73	0.52	0.42	0.32	0.19	-0.37	-0.07	0.01	0.12	0.19	0.04	-0.62	0.07	0.07	0.02	0.25	0.37
YIL043C	CBR1       || electron transport || cytochrome-b5 reductase activity || YIL043C || 1086073	-0.45	-0.16	-0.26	-0.22	-0.19	-0.27	-1.15	-0.89	-0.82	-0.61	-0.48	-0.32	-0.11	-0.08	0.19	0.35	-0.03	0.1	-0.38	-0.73	-0.17	-0.22	-0.15	-0.16	0.02	-0.06	-0.16	-0.09	-0.23	-0.06	0.18	0.48	-0.12	0.05	-0.2	-0.12
YHR161C	YAP1801    || endocytosis || clathrin binding || YHR161C || 1082031	-0.05	-0.07	0.14	-0.04	-0.29	-0.1	0.45	0.22	-0.5	-0.87	-0.49	-0.26	-0.56	-0.52	-0.49	-0.4	-0.26	-0.27	-0.19	-0.55	-0.35	-0.64	-0.51	-0.35	-0.16	-0.25	-0.12	-0.12	-0.17	-0.31	-0.67	-0.2	-0.12	-0.08	0.19	0.03
YGR192C	TDH3       || glycolysis* || glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) activity || YGR192C || 1082314	-2.2	-2.91	-1.99	-1.34	-0.99	-0.85	-1.97	-1.47	-2.15	-1.42	-1.07	-0.6	0.39	0.75	1.05	1.34	1.51	1.11	-2.84	-2.56	-2.12	-1.24	-1.42	-0.72	-1.74	-0.66	-0.35	0.12	0.25	-0.29	-3.66	-1.49	-0.85	-0.5	-0.07	0.07
YFL030W	AGX1       || glycine biosynthesis || alanine-glyoxylate transaminase activity || YFL030W || 1084273	1.7	1.71	1.52	1.71	0.65	-1.08	0.12	-0.02	-1.72	-2.01	-2.8	-2.98	-1.07	-1.19	-1.87	-2.36	-3.34	-4.2	-0.7	-0.23	-1.57	-1.63	-1.94	-1.78	-0.19	-1.21	-1.98	-2.43	-2.51	-3.17	-1.27	-1.68	-2.29	-3.17	-3.39	-3.23
YMR132C	JLP2       || biological process unknown || molecular function unknown || YMR132C || 1084272	0.16	0.6	0.05	-0.23	-0.03	0.16	-0.85	-0.03	0.93	0.62	0.71	0.1	0.5	0.31	0.53	0.63	0.59	0.91	0.59	0.14	0.26	0.07	0.43	0.23	-0.46	-0.12	-0.17	0.14	-0.01	0.22	-0.03	-0.16	0.05	0.48	0.15	0.04
YLR360W	VPS38      || late endosome to vacuole transport || molecular function unknown || YLR360W || 1082720	-0.09	0.05	0.16	0.17	-0.05	0.07	-0.2	-0.12	0.58	0.35	0.13	0.08	-0.23	-0.29	-0.17	0.08	-0.13	-0.26	0.51	0.24	-0.01	0.06	0.09	0.08	-0.33	-0.04	-0.17	-0.1	-0.05	0.02	-0.34	0.43	0.07	0.08	0.22	0.01
YEL021W	URA3       || 'de novo' pyrimidine base biosynthesis* || orotidine-5'-phosphate decarboxylase activity || YEL021W || 1085994	-0.6	-0.5	-0.17	0.16	0.11	0.22	-0.66	-0.52	-0.42	-0.32	-0.14	0.2	-0.78	-0.58	-0.44	-0.62	-0.1	-0.32	-1.06	-0.67	-0.23	-0.13	-0.14	0	-0.55	-0.42	-0.72	-0.16	-0.03	0.23	-3.07	-3.56	-3.24	-3	-3.25	-3.02
